Id;Text;Size
780;mistress;2
781;source;2
782;blows;2
783;merit;2
784;whereof;2
785;sable;2
786;anon;2
787;hours;2
788;paid;2
789;dishonour;2
790;short;2
791;mind's;2
792;wretch;2
793;provide;2
794;enterprise;2
795;computer;2
796;merely;2
797;fellow;2
798;quick;2
799;flames;2
800;shows;2
801;shown;2
802;affair;2
803;pause;2
804;ease;2
805;tend;2
806;confession;2
807;demands;2
808;corse;2
809;dearest;2
810;us'd;2
811;apparition;2
812;going;2
813;pass;2
814;virtues;2
815;damn'd;2
816;term;2
817;stage;2
818;desert;2
819;habit;2
820;bird;2
821;lunacy;2
822;hideous;2
823;feast;2
824;truant;2
825;rather;2
826;ecstasy;2
827;length;2
828;baby;2
829;text;2
830;fools;2
831;letters;2
832;forward;2
833;ourself;2
834;ebook;2
835;warlike;2
836;fees;2
837;mail;2
838;lungs;2
839;cries;2
840;messengers;2
841;breath;2
842;danger;2
843;brow;2
844;middle;2
845;for't;2
846;open;2
847;wont;2
848;internet;2
849;allow;2
850;bitter;2
851;speed;2
852;admit;2
853;themselves;2
854;chaste;2
855;base;2
856;secret;2
857;sting;2
858;sends;2
859;soldier;2
860;stir;2
861;prepared;2
862;clouds;2
863;grave;2
864;assistant;2
865;year;2
866;desperate;2
867;music;2
868;silence;2
869;orchard;2
870;aboard;2
871;beware;2
872;least;2
873;eager;2
874;serpent;2
875;e'en;2
876;lines;2
877;vow;2
878;brave;2
879;judge;2
880;rights;2
881;new;2
882;shalt;2
883;slow;2
884;alternatively;2
885;countenance;2
886;presently;2
887;remains;2
888;sovereign;2
889;seeming;2
890;servants;2
891;ignorance;2
892;trumpet;2
893;perfume;2
894;ascii;2
895;green;2
896;complexion;2
897;catch;2
898;double;2
899;ladies;2
900;liege;2
901;direct;2
902;comical;2
903;king's;2
904;borne;2
905;nearer;2
906;indifferent;2
907;solemn;2
908;bak'd;2
909;along;2
910;breach;2
911;extent;2
912;fit;2
913;ah;2
914;former;2
915;prove;2
916;foot;2
917;breathe;2
918;actor;2
919;fly;2
920;thunder;2
921;observe;2
922;armour;2
923;com'st;2
924;needs;2
925;frame;2
926;limbs;2
927;perhaps;2
928;kept;2
929;four;2
930;burns;2
931;il;2
932;gave;2
933;sending;2
934;remembrance;2
935;knew;2
936;lo;2
937;prodigal;2
938;edge;2
939;receiv'd;2
940;license;2
941;heraldry;2
942;cousin;2
943;whilst;2
944;seal'd;2
945;heed;2
946;country;2
947;joint;2
948;entreaty;2
949;valiant;2
950;region;2
951;cold;2
952;pure;2
953;willingly;2
954;wi;2
955;wide;2
956;software;2
957;held;2
958;beyond;2
959;terms;2
960;proof;2
961;presence;2
962;method;2
963;force;2
964;north;2
965;confess;2
966;dare;2
967;contrive;2
968;puts;2
969;self;2
970;date;2
971;creatures;2
972;cost;2
973;2782;2
974;wilt;2
975;assay;2
976;dignity;2
977;tragical;2
978;audience;2
979;masters;2
980;faculties;2
981;yours;2
982;claudius;2
983;medium;2
984;methinks;2
985;wisdom;2
986;secrecy;2
987;twill;2
988;61825;2
989;loving;2
990;bulk;2
991;violence;2
992;mirth;2
993;call'd;2
994;judgment;2
995;liability;2
996;pleasures;2
997;vulgar;2
998;intended;2
999;land;2
1000;working;2
1001;chief;2
1002;followed;2
1003;meeting;2
1004;volt;2
1005;trillion;2
1006;implied;2
1007;secure;2
1008;waxes;2
1009;crimes;2
1010;yea;2
1011;wonted;2
1012;buzz;2
1013;offence;2
1014;grows;2
1015;philosophy;2
1016;methods;2
1017;grown;2
1018;choice;2
1019;hid;2
1020;gross;2
1021;request;2
1022;majesties;2
1023;point;2
1024;encounter;2
1025;sometime;2
1026;strict;2
1027;entreat;2
1028;soil;2
1029;hot;2
1030;march;2
1031;reply;2
1032;2001;2
1033;additional;2
1034;seem'd;2
1035;home;2
1036;hope;2
1037;tables;2
1038;bend;2
1039;painted;2
1040;beggars;2
1041;deliver;2
1042;strike;2
1043;smile;2
1044;fine;2
1045;horridly;2
1046;lordship;2
1047;hears;2
1048;present;2
1049;troubles;2
1050;falling;2
1051;thyself;2
1052;doomsday;2
1053;unless;2
1054;thrift;2
1055;unnatural;2
1056;weary;2
1057;cannon;2
1058;reputation;2
1059;ice;2
1060;visitation;2
1061;melancholy;2
1062;presentation;2
1063;thrice;2
1064;fits;2
1065;turn'd;2
1066;commend;2
1067;fain;2
1068;imagination;2
1069;doors;2
1070;steel;2
1071;iii;2
1072;fall;2
1073;clearly;2
1074;beautified;2
1075;you'll;2
1076;bosom;2
1077;according;2
1078;bestow;2
1079;paper;2
1080;prov'd;2
1081;round;2
1082;fate;2
1083;throat;2
1084;strumpet;2
1085;morrow;2
1086;swift;2
1087;prevent;2
1088;scope;2
1089;age;2
1090;number;2
1091;obedience;2
1092;property;2
1093;happily;2
1094;fathers;2
1095;city;2
1096;crew;2
1097;tender;2
1098;royal;2
1099;mock;2
1100;favour;2
1101;weakness;2
1102;dull;2
1103;spirits;2
1104;man's;2
1105;fix'd;2
1106;cried;2
1107;suppress;2
1108;armed;2
1109;ass;2
1110;piteous;2
1111;dust;2
1112;mole;2
1113;edition;2
1114;malicious;2
1115;incestuous;2
1116;substance;2
1117;discourse;2
1118;jig;2
1119;moon;2
1120;champaign;2
1121;born;2
1122;rogue;2
1123;profit;2
1124;arrant;2
1125;return'd;2
1126;servant;2
1127;inward;2
1128;contain;2
1129;fishmonger;2
1130;party;2
1131;deep;2
1132;deed;2
1133;sin;2
1134;over;2
1135;bound;2
1136;sick;2
1137;slaughter;2
1138;warranty;2
1139;crown;2
1140;thinking;2
1141;table;2
1142;report;2
1143;sigh;2
1144;cursed;2
1145;levies;2
1146;angel;2
1147;high;2
1148;lust;2
1149;box;2
1150;boy;2
1151;100;2
1152;arm'd;2
1153;cunning;2
1154;encouraged;2
1155;scandal;2
1156;actors;2
1157;access;2
1158;hill;2
1159;throne;2
1160;mortal;2
1161;streets;2
1162;sirs;2
1163;if't;2
1164;weak;2
1165;seeing;2
1166;rugged;2
1167;lead;2
1168;canst;2
1169;officers;2
1170;chances;2
1171;week;2
1172;cap;2
1173;distracted;2
1174;don't;1
1175;spoke;1
1176;idol;1
1177;lion's;1
1178;tel;1
1179;warrant;1
1180;devoutly;1
1181;know't;1
1182;blasts;1
1183;solid;1
1184;meats;1
1185;tyrannous;1
1186;competent;1
1187;yourselves;1
1188;hearer;1
1189;southerly;1
1190;4;1
1191;left;1
1192;eleven;1
1193;tickle;1
1194;object;1
1195;cliff;1
1196;turn;1
1197;gold;1
1198;opposition;1
1199;law's;1
1200;encount'red;1
1201;stirring;1
1202;commission;1
1203;policy;1
1204;salt;1
1205;address;1
1206;hams;1
1207;p;1
1208;straight;1
1209;unimproved;1
1210;halt;1
1211;sale;1
1212;throw;1
1213;x;1
1214;brevity;1
1215;inurn'd;1
1216;violent;1
1217;resolve;1
1218;grizzled;1
1219;tax'd;1
1220;serious;1
1221;check;1
1222;son's;1
1223;soles;1
1224;scholars;1
1225;hark;1
1226;beshrew;1
1227;soul's;1
1228;link'd;1
1229;nowhere;1
1230;anticipation;1
1231;patrick;1
1232;puff'd;1
1233;roof;1
1234;cheek;1
1235;requite;1
1236;cheer;1
1237;appeareth;1
1238;pleas'd;1
1239;gravediggers;1
1240;observance;1
1241;immortal;1
1242;sate;1
1243;liegemen;1
1244;fierce;1
1245;hate;1
1246;cooperation;1
1247;order;1
1248;carrion;1
1249;distant;1
1250;gore;1
1251;propose;1
1252;sledded;1
1253;frown'd;1
1254;72600.2026;1
1255;save;1
1256;rots;1
1257;toe;1
1258;frankly;1
1259;toy;1
1260;succession;1
1261;implications;1
1262;lover;1
1263;picture;1
1264;firmament;1
1265;gibber;1
1266;regard;1
1267;scullion;1
1268;witch;1
1269;rose;1
1270;cor;1
1271;arrows;1
1272;graces;1
1273;holla;1
1274;function;1
1275;saws;1
1276;sentinels;1
1277;pigeon;1
1278;circumstances;1
1279;condolement;1
1280;conveniently;1
1281;hatch;1
1282;lest;1
1283;pardon;1
1284;pernicious;1
1285;tri;1
1286;rheum;1
1287;ceremony;1
1288;sworn't;1
1289;hawk;1
1290;fatted;1
1291;obeys;1
1292;exterior;1
1293;times;1
1294;212;1
1295;generous;1
1296;jelly;1
1297;possibility;1
1298;whence;1
1299;affrighted;1
1300;cry;1
1301;crescent;1
1302;merchantability;1
1303;spoken;1
1304;grapple;1
1305;spokes;1
1306;sport;1
1307;caught;1
1308;prey;1
1309;clamour;1
1310;supply;1
1311;dilated;1
1312;murther'd;1
1313;pace;1
1314;exclaim;1
1315;cue;1
1316;cum;1
1317;cut;1
1318;gutenberg's;1
1319;254;1
1320;mettle;1
1321;appurtenance;1
1322;ankle;1
1323;liver'd;1
1324;inclination;1
1325;vanish'd;1
1326;clad;1
1327;soe'er;1
1328;moods;1
1329;unmanly;1
1330;lia;1
1331;tedious;1
1332;lie;1
1333;apparel;1
1334;fellows;1
1335;bias;1
1336;plast'ring;1
1337;unmix'd;1
1338;glass;1
1339;judgments;1
1340;tetter;1
1341;hunts;1
1342;frailty;1
1343;mockery;1
1344;page;1
1345;cerements;1
1346;kramer;1
1347;stubbornness;1
1348;embark'd;1
1349;witchcraft;1
1350;opposing;1
1351;start;1
1352;titles;1
1353;equal;1
1354;wrung;1
1355;canker;1
1356;marvel;1
1357;thereabout;1
1358;fencing;1
1359;blastments;1
1360;palm;1
1361;punitive;1
1362;unholy;1
1363;trains;1
1364;three;1
1365;1971;1
1366;golden;1
1367;open'd;1
1368;entreated;1
1369;whereon;1
1370;unknown;1
1371;lot;1
1372;advisor;1
1373;planets;1
1374;low;1
1375;angels;1
1376;assure;1
1377;manners;1
1378;1999;1
1379;meant;1
1380;disclos'd;1
1381;rusty;1
1382;o'ermaster't;1
1383;centre;1
1384;dole;1
1385;blown;1
1386;prof;1
1387;niggard;1
1388;persever;1
1389;eternal;1
1390;fetch;1
1391;clip;1
1392;commanded;1
1393;compact;1
1394;gules;1
1395;daughters;1
1396;denote;1
1397;celebrated;1
1398;trumpets;1
1399;marvell's;1
